ID,Name,towerLevel,attackDamage,attackRange,attackSpeed,IsCritical,criticalRate,criticalDamage,duration,abilityValue,attackType,targetLayer,buffTarget,debuffTarget,,BaseDamage,CriticalDamage,,Average D,Average Cr,,,
2209,(단일) 바람 타워,1,0.68,2.5,1.91,FALSE,0.1212,0.78,0,0,Target,Enemy,None,None,,77.93,94.74,,127.57,139.41,,-49.64,-44.67
2309,(함정) 바람 타워,1,4,2.5,0.21,FALSE,0,0,30,0,Trap,Enemy,None,None,,50.4,50.4,,38.28,38.28,,12.12,12.12
2409,(버프) 바람 타워,1,0,1,1,FALSE,0,0,1,1.4,Buff,Tower,AttackSpeed,None,,0,0,,15,15,,-15,-15
3109,(광역) 바람 타워,1,8.91,2.5,0.84,FALSE,0.2352,0.02,1,60,Splash,Enemy,None,Push,,449.06,556.79,,479.72,530,,-30.66,26.79
3209,(단일) 바람 타워,1,1.36,2.5,4.58,FALSE,0.16968,1.17,0,0,Target,Enemy,None,None,,373.73,511.34,,612.57,699.51,,-238.84,-188.17
3309,(함정) 바람 타워,1,10,2.5,0.46,FALSE,0,0,30,0,Trap,Enemy,None,None,,276,276,,208.8,208.8,,67.2,67.2
3409,(버프) 바람 타워,1,0,2,1,FALSE,0,0,1,2,Buff,Tower,AttackSpeed,None,,0,0,,22.5,22.5,,-22.5,-22.5
4109,(광역) 바람 타워,1,26.73,2.75,2.1,FALSE,0.37632,0.04,1.5,150,Splash,Enemy,None,Push,,3367.98,4686.12,,3601.59,4306.1,,-233.61,380.02
4209,(단일) 바람 타워,1,4.08,2.75,12.6,FALSE,0.271488,2.34,0,0,Target,Enemy,None,None,,3084.48,5881.39,,5055.35,6489.95,,-1970.87,-608.56
4309,(함정) 바람 타워,1,30,2.75,1.15,FALSE,0,0,30,0,Trap,Enemy,None,None,,2070,2070,,1570.5,1570.5,,499.5,499.5
4409,(버프) 바람 타워,1,0,4,1,FALSE,0,0,1,3,Buff,Tower,AttackSpeed,None,,0,0,,37.5,37.5,,-37.5,-37.5
5109,(광역) 바람 타워,1,112.27,3.44,6.3,FALSE,0.677376,0.11,2.5,525,Splash,Enemy,None,Push,,42438.06,74346.7,,45381.34,69583.23,,-2943.28,4763.47
5209,(단일) 바람 타워,1,20.4,3.44,50.4,FALSE,0.4886784,6.55,0,0,Target,Enemy,None,None,,61689.6,289294.73,,101106.9,189869.9,,-39417.3,99424.83
5309,(함정) 바람 타워,1,150,3.44,3.45,FALSE,0,0,30,0,Trap,Enemy,None,None,,31050,31050,,23557.5,23557.5,,7492.5,7492.5
5409,(버프) 바람 타워,1,0,7,1,FALSE,0,0,1,5,Buff,Tower,AttackSpeed,None,,0,0,,75,75,,-75,-75
